x         	Exact     	Forward   	Central   	Richardson Extrap 

0.000000	1.0000000000	1.0010005002	1.0000001250	1.0000000000
0.100000	1.2156880099	1.2168490105	1.2156881526	1.2156880099
0.200000	1.4656833098	1.4670275045	1.4656834726	1.4656833098
0.300000	1.7548164498	1.7563695301	1.7548166355	1.7548164498
0.400000	2.0885545767	2.0903456120	2.0885547880	2.0885545767
0.500000	2.4730819061	2.4751437697	2.4730821465	2.4730819060
0.600000	2.9153900806	2.9177599287	2.9153903539	2.9153900806
0.700000	3.4233796027	3.4260994111	3.4233799132	3.4233796027
0.800000	4.0059736713	4.0090908385	4.0059740237	4.0059736713
0.900000	4.6732459112	4.6768139350	4.6732463109	4.6732459112
1.000000	5.4365636569	5.4406428924	5.4365641100	5.4365636569
1.100000	6.3087486503	6.3134071611	6.3087491635	6.3087486503
1.200000	7.3042572300	7.3095717419	7.3042578110	7.3042572300
1.300000	8.4393823355	8.4454393055	8.4393829929	8.4393823355
1.400000	9.7324799204	9.7393767351	9.7324806639	9.7324799204
1.500000	11.2042226758	11.2120689940	11.2042235162	11.2042226759
1.600000	12.8778843034	12.8868035603	12.8778852528	12.8778843034
1.700000	14.7796579577	14.7897890496	14.7796590296	14.7796579577
1.800000	16.9390129004	16.9505120717	16.9390141103	16.9390129004
1.900000	19.3890938826	19.4021368386	19.3890952476	19.3890938826
2.000000	22.1671682968	22.1819525684	22.1671698362	22.1671682968
2.100000	25.3151267290	25.3318743206	25.3151284643	25.3151267289
2.200000	28.8800431982	28.8990035505	28.8800451536	28.8800431982
2.300000	32.9148021009	32.9362554063	32.9148043035	32.9148021009
2.400000	37.4787996942	37.5030606060	37.4788021744	37.4787996942
2.500000	42.6387288625	42.6661506445	42.6387316543	42.6387288624
2.600000	48.4694569260	48.5004360933	48.4694600676	48.4694569260
2.700000	55.0550073820	55.0899888915	55.0550109160	55.0550073820
2.800000	62.4896577302	62.5291407836	62.4896617043	62.4896577301
2.900000	70.8791669408	70.9237114734	70.8791714087	70.8791669408
3.000000	80.3421476928	80.3923816265	80.3421527142	80.3421476927
3.100000	91.0116002539	91.0682276042	91.0116058959	91.0116002539
3.200000	103.0366268279	103.1004367640	103.0366331655	103.0366268278
3.300000	116.5843473588	116.6562243285	116.5843544759	116.5843473587
3.400000	131.8420402085	131.9229752496	131.8420481990	131.8420402085
3.500000	149.0195338141	149.1106371924	149.0195427829	149.0195338139
3.600000	168.3518784409	168.4543937670	168.3518885055	168.3518784408
3.700000	190.1023304923	190.2176504888	190.1023417839	190.1023304921
3.800000	214.5656855678	214.6953696787	214.5656982333	214.5656855677
3.900000	242.0720006171	242.2177946710	242.0720148204	242.0720006169
4.000000	272.9907501657	273.1546083320	272.9907660902	272.9907501658
4.100000	307.7354667465	307.9195760469	307.7354845970	307.7354667471
4.200000	346.7689214128	346.9757290856	346.7689414185	346.7689214135
4.300000	390.6089066079	390.8411506517	390.6089290246	390.6089066087
4.400000	439.8346907908	440.0954340553	439.8347159046	439.8346907916
4.500000	495.0942221529	495.3868903831	495.0942502829	495.0942221538
4.600000	557.1121675948	557.4405918857	557.1121990980	557.1121675960
4.700000	626.6988829771	627.0673471437	626.6989182515	626.6988829784
4.800000	704.7604216087	705.1737150365	704.7604610992	704.7604216100
4.900000	792.3097001411	792.7731767460	792.3097443444	792.3097001422
5.000000	890.4789546155	890.9985986126	890.4790040862	890.4789546168
5.100000	1000.5336345294	1001.1161337925	1000.5336898862	1000.5336345313
5.200000	1123.8878996259	1124.5407275053	1123.8879615599	1123.8878996281
5.300000	1262.1219028412	1262.8534094081	1262.1219721239	1262.1219028437
5.400000	1417.0010637068	1417.8205775029	1417.0011411982	1417.0010637095
5.500000	1590.4975597174	1591.4155012076	1590.4976463783	1590.4975597201
5.600000	1784.8142890126	1785.8422970808	1784.8143859144	1784.8142890159
5.700000	2002.4115864793	2003.5626594522	2002.4116948177	2002.4115864827
5.800000	2246.0370073856	2247.3256602441	2246.0371284942	2246.0370073907
5.900000	2518.7585282708	2520.2009678924	2518.7586636375	2518.7585282756
6.000000	2824.0015544491	2825.6158749355	2824.0017057333	2824.0015544540
6.100000	3165.5901675858	3167.3965679611	3165.5903366386	3165.5901675908
6.200000	3547.7930958714	3549.8141226990	3547.7932847566	3547.7930958770
6.300000	3975.3749439193	3977.6357616670	3975.3751549383	3975.3749439265
6.400000	4453.6532802534	4456.1819725650	4453.6535159737	4453.6532802611
6.500000	4988.5622478327	4991.3901532063	4988.5625111147	4988.5622478438
6.600000	5586.7234382389	5589.8855240312	5586.7237322745	5586.7234382483
6.700000	6255.5248537900	6259.0601328839	6255.5251821332	6255.5248537995
6.800000	7003.2088748732	7007.1608698472	7003.2092414904	7003.2088748876
6.900000	7838.9702532796	7843.3875134706	7838.9706625885	7838.9702532953
7.000000	8773.0652674276	8778.0019448674	8773.0657243528	8773.0652674409
